Month;BTC - 29156.844672102565;ETH - 1839.7904097390538
1;0.0036040898577611937;0.05599721582516021
2;0.0037842943506492532;0.057677132299915015
3;0.0039735090681817156;0.059407446268912464
4;0.004172184521590802;0.06118966965697984
5;0.0043807937476703415;0.06302535974668924
6;0.004599833435053859;0.06491612053908992
7;0.004829825106806552;0.06686360415526262
8;0.0050713163621468795;0.0688695122799205
9;0.005324882180254223;0.07093559764831811
10;0.005591126289266934;0.07306366557776765
11;0.005870682603730281;0.07525557554510068
12;0.0061642167339167955;0.07751324281145369
